,Adj_Close,Close,High,Low,Open,Volume
2005-01-19,32.4168,56.9523,57.5001,56.4047,56.9523,3511500
2005-01-20,31.7934,55.8571,56.9523,55.8571,55.8571,3263500
2005-01-21,31.7934,55.8571,56.4047,55.8571,56.4047,3507800
2005-01-24,31.7934,55.8571,56.4047,55.3095,56.4047,1034200
2005-01-25,31.7934,55.8571,56.4047,55.3095,55.8571,1481500
2005-01-26,32.1051,56.4047,56.9523,56.4047,56.4047,2317400
2005-01-27,32.1051,56.4047,56.9523,55.8571,56.9523,3029000
2005-01-28,31.7934,55.8571,56.9523,55.8571,56.4047,2612700
2005-01-31,32.4168,56.9523,57.5001,55.8571,56.4047,3813400
2005-02-01,32.7286,57.5001,57.5001,56.4047,56.9523,1421200
2005-02-02,32.1051,56.4047,58.0476,56.4047,57.5001,3609800
2005-02-03,33.352,58.5953,59.1429,56.9523,56.9523,6471700
2005-02-14,33.6637,59.1429,59.6904,58.5953,59.6904,6306400
2005-02-15,33.6637,59.1429,59.6904,58.5953,59.1429,3864300
2005-02-16,33.6637,59.1429,59.6904,58.5953,59.6904,2687100
2005-02-17,33.0402,58.0476,59.1429,57.5001,58.5953,3169600
2005-02-18,33.0402,58.0476,58.5953,57.5001,58.0476,2092900
2005-02-21,33.352,58.5953,59.1429,57.5001,58.0476,3177000
2005-02-22,33.0402,58.0476,59.6904,58.0476,59.1429,3042700
2005-02-23,33.352,58.5953,59.1429,57.5001,58.0476,4924000
2005-02-24,33.6637,59.1429,59.1429,58.0476,58.0476,4690100
2005-02-25,33.9753,59.6904,59.6904,58.5953,59.6904,4055700
2005-03-01,33.2896,58.4858,59.6904,57.5001,59.6904,5464200
2005-03-02,32.4791,57.0619,58.2667,56.9523,58.2667,5033100
2005-03-03,32.1674,56.5143,57.0619,55.3095,56.9523,5553700
2005-03-04,31.8557,55.9667,57.1714,55.7476,55.8571,4165800
2005-03-07,31.8557,55.9667,56.9523,55.5286,56.4047,2919600
2005-03-08,32.1674,56.5143,56.8429,55.8571,55.8571,4444500
2005-03-09,32.4168,56.9523,57.281000000000006,55.9667,55.9667,5915700
2005-03-10,32.2922,56.7334,56.9523,56.0762,56.9523,4297000
2005-03-11,32.2298,56.6238,56.7334,55.9667,56.5143,3301700
2005-03-14,31.9805,56.1858,56.6238,56.1858,56.1858,1917900
2005-03-15,31.6688,55.6381,56.2953,55.0905,56.1858,5044600
2005-03-16,32.3545,56.8429,56.9523,55.3095,55.6381,5018100
